1,Alaska,AK
2,Alabama,AL
3,Arkansas,AR
4,American Samoa,AS
5,Arizona,AZ
6,California,CA
7,Colorado,CO
8,Connecticut,CT
9,District of Columbia,DC
10,Delaware,DE
11,Florida,FL
12,Georgia,GA
13,Guam,GU
14,Hawaii,HI
15,Iowa,IA
16,Idaho,ID
17,Illinois,IL
18,Indiana,IN
19,Kansas,KS
20,Kentucky,KY
21,Louisiana,LA
22,Massachusetts,MA
23,Maryland,MD
24,Maine,ME
25,Michigan,MI
26,Minnesota,MN
27,Missouri,MO
28,Northern Mariana,MP
29,Mississippi,MS
30,Montana,MT
31,North Carolina,NC
32,North Dakota,ND
33,Nebraska,NE
34,New Hampshire,NH
35,New Jersey,NJ
36,New Mexico,NM
37,Nevada,NV
38,New York,NY
39,Ohio,OH
40,Oklahoma,OK
41,Oregon,OR
42,Pennsylvania,PA
43,Puero Rico,PR
44,Rhode Island,RI
45,South Carolina,SC
46,South Dakota,SD
47,Tennessee,TN
48,Texas,TX
49,Utah,UT
50,Virgina,VA
51,Virgin Islands,VI
52,Vermont,VT
53,Washington,WA
54,Wisconsin,WI
55,West Virginia,WV
56,Wyoming,WY
